검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,종교
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"108","고백의 언어들 :나의 인생, 나의 하나님 ","지은이: 김기석","복 있는 사람","2024","","9791170831211","03230","235.2","49",
"109","버려지는 시간은 없다 :유튜버 '돈많은언니' 염미솔의 신앙 에세이 ","염미솔 지음","RHK(알에이치코리아)","2023","","9788925576213","03810","230.4","48",
"110","술취한 코끼리 길들이기 :몸·마음·영혼을 위한 안내서 ","아잔 브라흐마 [지음] ;류시화 옮김","이레","2008","","9788957091128","03840","224.3","47",
"110","변신이야기 :라틴어 원전 번역 ","오비디우스 지음 ;천병희 옮김","숲","2017","","9788991290808","03890","219.2","47",
"110","(도표로 읽는) 불교 입문 ","글: 이자랑,그림: 배종훈","민족사","2016","","9788998742652","03220","220","47",
"110","(지금 시작하는) 그리스 로마 신화 =유럽의 문화와 예술을 깊이 이해하기 위한 필독서 /The Greek&Roman mythology ","양승욱 지음","탐나는책","2022","","9791189550585","04920","219.21","47",
"110","(이정훈 교수의) 성경적 세계관 ","이정훈 지음","PLI","2022","","9791196987992","03230","235.8","47",
"115","그리스·로마 신화","메네라오스 스테파니데스 글 ;야니스 스테파니데스 그림","파랑새","2022","1","9788961559652","74800","219","46",
"115","신과 나눈 이야기","지은이: 닐 도날드 월쉬 ;옮긴이: 조경숙","아름드리미디어","2008","1","9788988404430","03840","214","46",
"117","아직 결혼하지 않은 당신에게 ","마셜 시걸 지음 ;조성봉 옮김","생명의말씀사","2020","","9788904141500","03230","234.8","45",
"117","(스티븐 프라이의) 그리스 신화 ","스티븐 프라이 지음 ;이영아 옮김","현암사","2019","","9788932319865","03840","219.21","45",
"117","신과 나눈 이야기 1 - 나는 너희가 원하는 걸 원한다, 개정판","닐 도널드 월쉬 (지은이), 조경숙 (옮긴이)","아름드리미디어","1997","1","9788955825022","","214","45",
"117","시대를 읽다, 성경을 살다 ","박영호 지음","복 있는 사람","2023","","9791192675893","03230","234.8","45",
"121","내면세계의 질서와 영적 성장 ","지은이: 고든 맥도날드 ;김명희","IVP(한국기독학생회출판부)","2018","","9788932816425","03230","234.8","44",
"121","침묵의 기술 ","조제프 앙투안 투생 디누아르 지음 ;성귀수 옮김","arte(아르테)","2016","","9788950963262","03100","234.1","44",
"121","(구스타프 슈바브의) 그리스 로마 신화","구스타프 슈바브 지음 ;이동희 옮김","Humanist(휴머니스트)","2015","1","9788958627708","04210","219.2","44",
"121","불교와 양자역학 :양자역학 지식은 어떻게 지혜로 완성되는가 ","빅 맨스필드 지음 ;이중표 옮김","불광출판사","2021","","9788974798857","03220","225.84","44",
"121","살아생전 떠나는 지옥 관광 :고전문학, 신화, 회화로 만나는 리얼 지옥 가이드 ","김태권 지음","한겨레엔","2021","","9791160404913","03900","211.6","44",
"121","초조하지 않게 사는 법 :불안, 걱정, 두려움을 다스리는 금강경의 지혜 ","페이융 지음 ;허유영 옮김","유노북스","2016","","9791186665169","03190","223.53","44",
"121","청년 붓다 :바람과 사자와 연꽃의 노래 ","고미숙 지음","북드라망","2022","","9791192128146","03990","220.99","44",
"121","인생의 괴로움과 깨달음 :미처 몰랐던 불교, 알고 싶었던 붓다 ","강성용 지음","불광출판사","2024","","9791193454596","04200","220.1","44",
"121","(강남길의 명화와 함께 후루룩 읽는) 그리스 로마 신화 ","엮은이: 강남길","Delphi Studio(델피 스튜디오)","2023","2","9791197678349","03890","219.21","44",
"130","그리스 로마 신화","글: 박시연 ;정보글: 강대진","북이십일","2017","2","9788950971373","74800","219","43",
"130","팀 켈러의 부활을 입다 :인생 단 하나의 희망, 하나님의 위대한 반전 ","팀 켈러 지음 ;윤종석 옮김","두란노(두란노서원)","2021","","9788953139640","03230","232.85","43",
"130","(만화로 보는)그리스 로마 신화","토머스 불핀치 지음;서영 그림","가나출판사","2005","4","9788957363041","73840","219","43",
