검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"117","처음 읽는 일본사 :덴노·무사·상인의 삼중주, 일본 ","전국역사교사모임 지음 ;이지현","Humanist(휴머니스트 출판그룹)","2018","","9791160801828","03900","913","109",
"117","(박시백의) 고려사","지은이: 박시백","Humanist(휴머니스트출판그룹)","2022","3","9791160809527","07910","911.04","109",
"121","썬킴의 세계사 완전 정복 :패권전쟁으로 이해하는 역사의 흐름 ","썬킴 지음","RHK(알에이치코리아)","2022","","9788925577883","03900","909","108",
"121","(프렌즈) 튀르키예(터키) =최신판 '23~'24 /T?rkiye ","주종원,채미정 지음","중앙일보에스","2023","","9788927879886","14980","981.8702","108",
"121","혼자 떠나는 게 뭐 어때서 =Why not travel alone ","이소정 지음","동양북스","2023","","9791157689811","03810","980.24","108",
"124","(Just go) 유럽 5개국 =영국·프랑스·스위스·이탈리아·스페인 /Europe ","최철호 지음","시공사","2023","","9791169256285","14980","982.02","107",
"125","중동은 왜 싸우는가? :정체성의 투쟁, 중동사 21장면 ","박정욱 지음","지식프레임","2018","","9788994655697","03910","918","106",
"126","여행의 시간 :도시건축가 김진애의 인생 여행법 ","지은이: 김진애","창비","2023","","9788936479251","03810","980.2","104",
"126","스페어 ","지은이: Prince Harry, Duke of Sussex ;번역: 김광수","하움출판사","2024","","9791164405787","03840","990.99","104",
"128","당일치기 조선여행 :한양과 경성, 두 개의 조선을 걷는 시간 ","지은이: 트래블레이블,최윤정","Note & Knot(노트앤노트)","2024","","9791197880452","03980","981.1602","103",
"128","꿰뚫는 한국사 :시대를 뒤흔든 문제적 인물들 ","홍장원,배상훈 지음","비욘드날리지","2024","","9791198496645","03910","911","103",
"130","로마인 이야기","시오노 나나미 지음 ;김석희 옮김","한길사","1995","1","9788935610242","04900","922","102",
"130","나의 문화유산답사기","유홍준 지음","창비","2011","1","9788936472016","03810","981.102","102",
"130","국토박물관 순례","유홍준 지음","창비","2023","1","9788936480073","03810","981.102","102",
"130","지금은, 일본 소도시 여행 :쉼표가 필요할 때 떠나는 일본의 감성 여행지 45 ","두경아 지음","길벗","2024","","9791140708666","13980","981.302","102",
"130","(기후로 다시 읽는) 세계사 :역사를 뒤흔든 지리의 힘, 기후를 뒤바꾼 인류의 미래 ","이동민 지음","갈매나무","2023","","9791191842463","03900","909","102",
"135","리멤버 홍콩 :시간에 갇힌 도시와 사람들 ","전명윤 지음","사계절(사계절출판사)","2021","","9791160947243","03910","912.34","101",
"135","(박시백의) 고려사","지은이: 박시백","Humanist(휴머니스트출판그룹)","2022","4","9791170870357","07910","911.04","101",
"137","너무 재밌어서 잠 못 드는 세계사 :일본 3대 입시학원 최고의 세계사 스타 강사 우야마 다쿠에이가 들려주는 명강의 ","우야마 다쿠에이 지음 ;오세웅 옮김","아름다운사람들","2016","","9788965133834","93900","909","100",
"137","홍콩 산책 :도시 인문 여행 ","지은이: 류영하","산지니","2019","","9788965455769","03810","981.23402","100",
"137","(클로즈업) 도쿄 =도쿄 디즈니 리조트·요코하마·하코네·닛코·카마쿠라 /Close up Tokyo ","유재우,손미경 지음","에디터","2023","","9788967442569","13910","981.302","100",
"137","디스이즈파리 =2022~2023년 최신판 /This is Paris ","글·사진: 김민준,정희태","Terra(테라)","2022","","9788994939964","13980","982.6302","100",
"137","도쿄 =분리형 가이드북 /Tokyo ","정숙영 지음","길벗","2023","2","9791140703425","13980","981.32302","100",
"137","본격 한중일 세계사","굽시니스트 글·그림","위즈덤하우스","2018","1","9791162203255","04900","910","100",
"143","곰브리치 세계사 ","에른스트 H. 곰브리치 글 ;박민수 옮김","비룡소","2010","","9788949187112","44900","909","98",
"144","리얼 싱가포르 :2022~2023년 최신판 ","정지은 지음","한빛라이프","2022","","9791188007509","14980","981.46902","97",
"145","후쿠오카 =유후인 벳푸 기타큐슈 나가사키 /Fukuoka ","RHK 여행콘텐츠팀 지음","RHK(알에이치코리아)","2019","","9788925565415","13980","981.3402","96",
"145","아틀라스 일본사 ","일본사학회 지음","사계절출판사","2011","","9788958285236","03910","913","96",
"145","(하룻밤에 읽는) 한국 근현대사 ","최용범,이우형 지음","페이퍼로드","2019","","9791196793524","03910","911.06","96",
"148","밥 먹으러 일본 여행 :오니기리에서 에키벤까지, 소소하지만 특별해! ","이기중 지음","따비","2024","","9791192169354","03910","981.302","95",
"149","디스 이즈 파리 =This is Paris ","글·사진: 김민준,정희태","Terra(테라)","2023","","9791192767055","13980","982.6302","94",
"150","대만 산책 ","류영하 지음","이숲","2022","","9791191131376","03810","981.2402","93",
"151","명화로 읽는 합스부르크 역사 ","나카노 교코 지음 ;이유라 옮김","한경BP","2022","","9788947548472","03600","925","92",
"151","셀프트래블 타이완 ='23~'24 최신판 /Taiwan ","이주영 지음","상상출판","2023","","9791167821478","14980","981.2402","92",
