검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,언어
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"145","해커스톡 왕초보 영어회화 10분의 기적 :미국인이 가장 많이 쓰는 표현으로 원어민처럼 말하기 ","지은이: 해커스 어학연구소","해커스 어학연구소","2018","","9788965422709","13740","747.5","69",
"145","(영알못도 아는) 48개 영어 동사로 프리토킹 깨부수기 ","조찬웅 지음","책들의정원","2023","","9791164161607","13740","747.5","69",
"145","(궁금증이 싹! 풀리는) 세상 쉬운 영문법 ","윤여홍 지음","시간과공간사","2022","","9791190818179","13740","745","69",
"145","(쉬운 단어로) 1분 영어 말하기 :국내파 스피킹 전문 강사 에스텔 저자의 노하우가 담긴 체계적인 영어 스피킹 훈련 프로그램 ","에스텔 지음","넥서스","2020","","9791190927116","13740","747.5","69",
"152","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","60","9791171171255","77720","711.4","68",
"152","Go! 독학 일본어 첫걸음 :체계적인 커리큘럼으로 매일 딱 15분! ","시원스쿨일본어연구소 지음","에스제이더블유인터내셔널","2016","","9791186858516","13730","730","68",
"152","토익 500점 문과장은 어떻게 영어 달인이 됐을까 :돈 없고 시간 없어도 영어가 되는 기적의 공부 습관 만들기 ","문성현 지음","GCC","2019","","9791189432829","03320","740.7","68",
"152","영어회화 100일의 기적","문성현 지음","넥서스","2020","2","9791191209013","13740","747.5","68",
"152","그런 말은 전혀 괜찮지 않습니다 :혐오와 차별을 넘어서는 우리말 사용법 ","장슬기 지음","아를","2022","","9791197317972","03710","710.13","68",
"157","3시간 여행 일본어 :단 3시간 만에 일본어를 말하게 되는 기적 ","저자: 이지원,백현욱","Old Stairs","2014","","9788997221325","13730","737.5","67",
"157","(현직 동시통역사에게 직접 배우는) 66일 영어회화 비밀과외 =66-day private English conversation class ","장경미 지음","길벗","2021","","9791165214937","04740","747.5","67",
"159","향문천의 한국어 비사 :천 년간 풀지 못한 한국어의 수수께끼 ","향문천 지음","김영사","2024","","9788934981015","03700","710.9","66",
"159","개발자가 영어도 잘해야 하나요? =개발자를 위한 실전 IT 영어 /Does a developer need to be good at English as well? ","최희철 지음","길벗","2024","","9791140708581","93000","740.7","66",
